step 0 layer number:0  UnitName  BlockTemperature
3  Block_3             46.71
4  Block_4             46.71
layer number:1  UnitName  BlockTemperature
0  Block_0             47.36
1  Block_1             46.00
2  Block_2             47.90
3  Block_3             46.00
4  Block_4             46.00
step 19 layer number:0  UnitName  BlockTemperature
0  Block_0             48.84
1  Block_1             46.51
2  Block_2             49.65
3  Block_3             46.51
4  Block_4             46.51
layer number:1  UnitName  BlockTemperature
0  Block_0             47.15
1  Block_1             45.88
2  Block_2             47.62
3  Block_3             45.88
4  Block_4             45.88
step 20 layer number:0  UnitName  BlockTemperature
0  Block_0             49.08
1  Block_1             46.28
2  Block_2             49.75
3  Block_3             46.28
4  Block_4             46.28
layer number:1  UnitName  BlockTemperature
0  Block_0             47.24
1  Block_1             45.75
2  Block_2             47.64
3  Block_3             45.75
4  Block_4             45.75
step 21 layer number:0  UnitName  BlockTemperature
0  Block_0             51.67
1  Block_1             46.43
2  Block_2             52.50
3  Block_3             46.43
4  Block_4             46.43
layer number:1  UnitName  BlockTemperature
0  Block_0             48.63
1  Block_1             45.86
2  Block_2             49.14
3  Block_3             45.86
4  Block_4             45.86
step 22 layer number:0  UnitName  BlockTemperature
0  Block_0             56.80
1  Block_1             47.39
2  Block_2             58.33
3  Block_3             47.39
4  Block_4             47.39
layer number:1  UnitName  BlockTemperature
0  Block_0             51.45
1  Block_1             46.44
2  Block_2             52.39
3  Block_3             46.44
4  Block_4             46.44
step 23 layer number:0  UnitName  BlockTemperature
0  Block_0             60.49
1  Block_1             48.24
2  Block_2             62.59
3  Block_3             48.24
4  Block_4             48.24
layer number:1  UnitName  BlockTemperature
0  Block_0             53.49
1  Block_1             46.95
2  Block_2             54.77
3  Block_3             46.95
4  Block_4             46.95
