TIME,V(NODE0_0_0),V(NODE0_0_1),V(NODE0_0_2),V(NODE0_0_3),V(NODE0_0_4),V(NODE0_0_5),V(NODE0_0_6),V(NODE0_0_7),V(NODE0_0_8),V(NODE0_0_9),V(NODE0_1_0),V(NODE0_1_1),V(NODE0_1_2),V(NODE0_1_3),V(NODE0_1_4),V(NODE0_1_5),V(NODE0_1_6),V(NODE0_1_7),V(NODE0_1_8),V(NODE0_1_9),V(NODE0_2_0),V(NODE0_2_1),V(NODE0_2_2),V(NODE0_2_3),V(NODE0_2_4),V(NODE0_2_5),V(NODE0_2_6),V(NODE0_2_7),V(NODE0_2_8),V(NODE0_2_9),V(NODE0_3_0),V(NODE0_3_1),V(NODE0_3_2),V(NODE0_3_3),V(NODE0_3_4),V(NODE0_3_5),V(NODE0_3_6),V(NODE0_3_7),V(NODE0_3_8),V(NODE0_3_9),V(NODE0_4_0),V(NODE0_4_1),V(NODE0_4_2),V(NODE0_4_3),V(NODE0_4_4),V(NODE0_4_5),V(NODE0_4_6),V(NODE0_4_7),V(NODE0_4_8),V(NODE0_4_9),V(NODE0_5_0),V(NODE0_5_1),V(NODE0_5_2),V(NODE0_5_3),V(NODE0_5_4),V(NODE0_5_5),V(NODE0_5_6),V(NODE0_5_7),V(NODE0_5_8),V(NODE0_5_9),V(NODE0_6_0),V(NODE0_6_1),V(NODE0_6_2),V(NODE0_6_3),V(NODE0_6_4),V(NODE0_6_5),V(NODE0_6_6),V(NODE0_6_7),V(NODE0_6_8),V(NODE0_6_9),V(NODE0_7_0),V(NODE0_7_1),V(NODE0_7_2),V(NODE0_7_3),V(NODE0_7_4),V(NODE0_7_5),V(NODE0_7_6),V(NODE0_7_7),V(NODE0_7_8),V(NODE0_7_9),V(NODE0_8_0),V(NODE0_8_1),V(NODE0_8_2),V(NODE0_8_3),V(NODE0_8_4),V(NODE0_8_5),V(NODE0_8_6),V(NODE0_8_7),V(NODE0_8_8),V(NODE0_8_9),V(NODE0_9_0),V(NODE0_9_1),V(NODE0_9_2),V(NODE0_9_3),V(NODE0_9_4),V(NODE0_9_5),V(NODE0_9_6),V(NODE0_9_7),V(NODE0_9_8),V(NODE0_9_9),V(NODE1_0_0),V(NODE1_0_1),V(NODE1_0_2),V(NODE1_0_3),V(NODE1_0_4),V(NODE1_0_5),V(NODE1_0_6),V(NODE1_0_7),V(NODE1_0_8),V(NODE1_0_9),V(NODE1_1_0),V(NODE1_1_1),V(NODE1_1_2),V(NODE1_1_3),V(NODE1_1_4),V(NODE1_1_5),V(NODE1_1_6),V(NODE1_1_7),V(NODE1_1_8),V(NODE1_1_9),V(NODE1_2_0),V(NODE1_2_1),V(NODE1_2_2),V(NODE1_2_3),V(NODE1_2_4),V(NODE1_2_5),V(NODE1_2_6),V(NODE1_2_7),V(NODE1_2_8),V(NODE1_2_9),V(NODE1_3_0),V(NODE1_3_1),V(NODE1_3_2),V(NODE1_3_3),V(NODE1_3_4),V(NODE1_3_5),V(NODE1_3_6),V(NODE1_3_7),V(NODE1_3_8),V(NODE1_3_9),V(NODE1_4_0),V(NODE1_4_1),V(NODE1_4_2),V(NODE1_4_3),V(NODE1_4_4),V(NODE1_4_5),V(NODE1_4_6),V(NODE1_4_7),V(NODE1_4_8),V(NODE1_4_9),V(NODE1_5_0),V(NODE1_5_1),V(NODE1_5_2),V(NODE1_5_3),V(NODE1_5_4),V(NODE1_5_5),V(NODE1_5_6),V(NODE1_5_7),V(NODE1_5_8),V(NODE1_5_9),V(NODE1_6_0),V(NODE1_6_1),V(NODE1_6_2),V(NODE1_6_3),V(NODE1_6_4),V(NODE1_6_5),V(NODE1_6_6),V(NODE1_6_7),V(NODE1_6_8),V(NODE1_6_9),V(NODE1_7_0),V(NODE1_7_1),V(NODE1_7_2),V(NODE1_7_3),V(NODE1_7_4),V(NODE1_7_5),V(NODE1_7_6),V(NODE1_7_7),V(NODE1_7_8),V(NODE1_7_9),V(NODE1_8_0),V(NODE1_8_1),V(NODE1_8_2),V(NODE1_8_3),V(NODE1_8_4),V(NODE1_8_5),V(NODE1_8_6),V(NODE1_8_7),V(NODE1_8_8),V(NODE1_8_9),V(NODE1_9_0),V(NODE1_9_1),V(NODE1_9_2),V(NODE1_9_3),V(NODE1_9_4),V(NODE1_9_5),V(NODE1_9_6),V(NODE1_9_7),V(NODE1_9_8),V(NODE1_9_9)
0.0000e+00,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02
1.2000e-02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02,3.1815e+02
2.4000e-02,3.2005e+02,3.2003e+02,3.2001e+02,3.1999e+02,3.1998e+02,3.1998e+02,3.1999e+02,3.1998e+02,3.1996e+02,3.1994e+02,3.2006e+02,3.2002e+02,3.1994e+02,3.1987e+02,3.1984e+02,3.1986e+02,3.1989e+02,3.1986e+02,3.1978e+02,3.1973e+02,3.2017e+02,3.2002e+02,3.1967e+02,3.1935e+02,3.1926e+02,3.1936e+02,3.1956e+02,3.1950e+02,3.1906e+02,3.1884e+02,3.2186e+02,3.2146e+02,3.2049e+02,3.1961e+02,3.1935e+02,3.1955e+02,3.1993e+02,3.1984e+02,3.1914e+02,3.1875e+02,3.2862e+02,3.2751e+02,3.2391e+02,3.2074e+02,3.2007e+02,3.2074e+02,3.2195e+02,3.2182e+02,3.2022e+02,3.1925e+02,3.3811e+02,3.3606e+02,3.2870e+02,3.2231e+02,3.2146e+02,3.2464e+02,3.3052e+02,3.3032e+02,3.2372e+02,3.2046e+02,3.4327e+02,3.4075e+02,3.3130e+02,3.2317e+02,3.2250e+02,3.2822e+02,3.3891e+02,3.3865e+02,3.2696e+02,3.2147e+02,3.3780e+02,3.3584e+02,3.2857e+02,3.2234e+02,3.2196e+02,3.2680e+02,3.3576e+02,3.3554e+02,3.2578e+02,3.2118e+02,3.2409e+02,3.2340e+02,3.2181e+02,3.2045e+02,3.2033e+02,3.2143e+02,3.2304e+02,3.2297e+02,3.2120e+02,3.2007e+02,3.2067e+02,3.2043e+02,3.1998e+02,3.1961e+02,3.1956e+02,3.1986e+02,3.2023e+02,3.2021e+02,3.1979e+02,3.1947e+02,3.1931e+02,3.1930e+02,3.1928e+02,3.1926e+02,3.1925e+02,3.1925e+02,3.1926e+02,3.1925e+02,3.1923e+02,3.1922e+02,3.1935e+02,3.1931e+02,3.1925e+02,3.1919e+02,3.1916e+02,3.1917e+02,3.1919e+02,3.1917e+02,3.1911e+02,3.1907e+02,3.1957e+02,3.1945e+02,3.1922e+02,3.1901e+02,3.1893e+02,3.1898e+02,3.1907e+02,3.1902e+02,3.1882e+02,3.1869e+02,3.2084e+02,3.2053e+02,3.1987e+02,3.1927e+02,3.1906e+02,3.1918e+02,3.1939e+02,3.1932e+02,3.1894e+02,3.1868e+02,3.2457e+02,3.2377e+02,3.2185e+02,3.2013e+02,3.1966e+02,3.2008e+02,3.2080e+02,3.2070e+02,3.1975e+02,3.1910e+02,3.2945e+02,3.2805e+02,3.2445e+02,3.2128e+02,3.2070e+02,3.2230e+02,3.2488e+02,3.2473e+02,3.2180e+02,3.2001e+02,3.3191e+02,3.3022e+02,3.2576e+02,3.2189e+02,3.2144e+02,3.2418e+02,3.2853e+02,3.2836e+02,3.2356e+02,3.2074e+02,3.2903e+02,3.2770e+02,3.2425e+02,3.2129e+02,3.2102e+02,3.2338e+02,3.2704e+02,3.2690e+02,3.2288e+02,3.2051e+02,3.2249e+02,3.2196e+02,3.2086e+02,3.1992e+02,3.1983e+02,3.2057e+02,3.2159e+02,3.2153e+02,3.2040e+02,3.1962e+02,3.2012e+02,3.1992e+02,3.1956e+02,3.1925e+02,3.1921e+02,3.1944e+02,3.1972e+02,3.1970e+02,3.1938e+02,3.1912e+02
