UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
GX0_T1,0,0,0.006,0.0045,,Si
GX1_T1,0.006,0,0.003,0.0045,,Si
GX2_T1,0.009,0,0.001,0.0045,,Si
CORE_2,0,0.0045,0.006,0.0035,,Si
CORE_3,0,0.008,0.006,0.0035,,Si
L3_2,0.006,0.0045,0.003,0.0035,,Si
L3_3,0.006,0.008,0.003,0.0035,,Si
DDR0_T1,0.009,0.0045,0.001,0.0035,,Si
DDR1_T1,0.009,0.008,0.001,0.0035,,Si
DDR2_T1,0.009,0.0115,0.001,0.001,,Si
DDR3_T1,0.009,0.0125,0.001,0.0005,,Si
DE_SA0_T1,0,0.0115,0.006,0.001,,Si
DE_SA1_T1,0.006,0.0115,0.003,0.001,,Si
DISP_PCIE0_T1,0,0.0125,0.006,0.0005,,Si
DISP_PCIE1_T1,0.006,0.0125,0.003,0.0005,,Si
