UnitName,Power
Core0,14.006292962161469
Core1,13.973106716976421
Core2,0.2464128460272341
Core3,13.94657551653807
Core4,0.2464128460272341
Core5,13.509763610984775
Core6,0.2464128460272341
Core7,0.2464128460272341
Core8,13.672125463283162
Core9,0.2464128460272341
L3_0,0.2564705561197735
L3_1,0.2564705561197735
L3_2,0.2564705561197735
L3_3,0.2564705561197735
L3_4,0.2564705561197735
L3_5,0.2564705561197735
L3_6,0.2564705561197735
L3_7,0.2564705561197735
L3_8,0.2564705561197735
L3_9,0.2564705561197735
IO,2.8365078063671034
MemController,1.2156462027287587
Si_0,0.0
Si_1,0.0
Si_2,0.0
Si_3,0.0
Si_4,0.0
