UnitName,Power
Core0,8.13194742187321
Core1,8.082150742515232
Core2,0.24640056344424957
Core3,7.600497795220368
Core4,0.24640056344424957
Core5,0.24640056344424957
Core6,0.24640056344424957
Core7,7.587927964591545
Core8,7.511368376423747
Core9,0.24640056344424957
L3_0,0.2539414833077415
L3_1,0.2539414833077415
L3_2,0.2539414833077415
L3_3,0.2539414833077415
L3_4,0.2539414833077415
L3_5,0.2539414833077415
L3_6,0.2539414833077415
L3_7,0.2539414833077415
L3_8,0.2539414833077415
L3_9,0.2539414833077415
IO,2.8365078063671034
MemController,1.2156462027287587
Si_0,0.0
Si_1,0.0
Si_2,0.0
Si_3,0.0
Si_4,0.0
